conj,infinitive,mode,pess,time
queres,querer,indicativo,tu,presente
quiseste,querer,indicativo,tu,pretérito perfeito
querias,querer,indicativo,tu,pretérito imperfeito
quer,querer,indicativo,ele/ela,presente
quis,querer,indicativo,ele/ela,pretérito perfeito
queria,querer,indicativo,ele/ela,pretérito imperfeito
queremos,querer,indicativo,nós,presente
quisemos,querer,indicativo,nós,pretérito perfeito
queríamos,querer,indicativo,nós,pretérito imperfeito
quereis,querer,indicativo,vós,presente
quisestes,querer,indicativo,vós,pretérito perfeito
queríeis,querer,indicativo,vós,pretérito imperfeito
querem,querer,indicativo,eles/elas,presente
quiseram,querer,indicativo,eles/elas,pretérito perfeito
queriam,querer,indicativo,eles/elas,pretérito imperfeito
quisera,querer,indicativo,eu,pret. mais-que-perfeito
quererei,querer,indicativo,eu,futuro
quereria,querer,indicativo,eu,condicional
quiseras,querer,indicativo,tu,pret. mais-que-perfeito
quererás,querer,indicativo,tu,futuro
quererias,querer,indicativo,tu,condicional
quisera,querer,indicativo,ele/ela,pret. mais-que-perfeito
quererá,querer,indicativo,ele/ela,futuro
quereria,querer,indicativo,ele/ela,condicional
quiséramos,querer,indicativo,nós,pret. mais-que-perfeito
quereremos,querer,indicativo,nós,futuro
quereríamos,querer,indicativo,nós,condicional
quiséreis,querer,indicativo,vós,pret. mais-que-perfeito
querereis,querer,indicativo,vós,futuro
quereríeis,querer,indicativo,vós,condicional
quiseram,querer,indicativo,eles/elas,pret. mais-que-perfeito
quererão,querer,indicativo,eles/elas,futuro
quereriam,querer,indicativo,eles/elas,condicional
fico,ficar,indicativo,eu,presente
fiquei,ficar,indicativo,eu,pretérito perfeito
ficava,ficar,indicativo,eu,pretérito imperfeito
ficas,ficar,indicativo,tu,presente
ficaste,ficar,indicativo,tu,pretérito perfeito
ficavas,ficar,indicativo,tu,pretérito imperfeito
fica,ficar,indicativo,ele/ela,presente
ficou,ficar,indicativo,ele/ela,pretérito perfeito
ficava,ficar,indicativo,ele/ela,pretérito imperfeito
ficamos,ficar,indicativo,nós,presente
ficámos / ficamos,ficar,indicativo,nós,pretérito perfeito
ficávamos,ficar,indicativo,nós,pretérito imperfeito
ficais,ficar,indicativo,vós,presente
ficastes,ficar,indicativo,vós,pretérito perfeito
ficáveis,ficar,indicativo,vós,pretérito imperfeito
ficam,ficar,indicativo,eles/elas,presente
